"","date","open","high","low","close","volume","adjusted"
"2806",2009-02-27,12.561429,13.042857,12.524285,12.758572,176664600,8.636996
"2807",2009-03-02,12.588572,13.028571,12.524285,12.562857,192732400,8.504509
"2808",2009-03-03,12.704286,12.962857,12.554286,12.624286,181085100,8.546093
"2809",2009-03-04,12.882857,13.252857,12.778571,13.024285,185350900,8.816873
"2810",2009-03-05,12.922857,13.124286,12.635715,12.691428,176724800,8.591543
"2811",2009-03-06,12.62,12.628572,11.761429,12.185715,252786800,8.249202
"2812",2009-03-09,12.025714,12.514286,11.795714,11.872857,174574400,8.037408
"2813",2009-03-10,12.124286,12.738571,12.051429,12.661428,211064700,8.571235
"2814",2009-03-11,12.83,13.438571,12.797143,13.24,211593200,8.962903
"2815",2009-03-12,13.271428,13.797143,13.142858,13.764286,192114300,9.317823
"2816",2009-03-13,13.757143,13.885715,13.572857,13.704286,150292100,9.277205
"2817",2009-03-16,13.79,13.912857,13.454286,13.631429,199311000,9.227886
"2818",2009-03-17,13.605714,14.241428,13.581429,14.237143,196661500,9.637927
"2819",2009-03-18,14.272857,14.782857,14.245714,14.502857,199009300,9.817801
"2820",2009-03-19,14.55,14.742857,14.321428,14.517143,125045200,9.827475
"2821",2009-03-20,14.584286,14.73,14.367143,14.512857,173896800,9.824574
"2822",2009-03-23,14.672857,15.451428,14.535714,15.38,166599300,10.411591
"2823",2009-03-24,15.194285,15.634286,15.055715,15.214286,160153000,10.299409
"2824",2009-03-25,15.368571,15.48,14.837143,15.212857,161654500,10.298442
"2825",2009-03-26,15.404285,15.711429,15.368571,15.695714,154063000,10.625315
"2826",2009-03-27,15.461429,15.504286,15.2,15.264286,123218200,10.33326
"2827",2009-03-30,14.93,15.001429,14.658571,14.927143,125699000,10.105026
"2828",2009-03-31,15.064285,15.35,15,15.017143,142520000,10.165954
"2829",2009-04-01,14.87,15.571428,14.841429,15.527143,147343000,10.511199
"2830",2009-04-02,15.734285,16.392857,15.682858,16.101429,203091700,10.899968
"2831",2009-04-03,16.312857,16.59,16.217142,16.57,159060300,11.21717
"2832",2009-04-06,16.42,16.964285,16.182858,16.921429,164516100,11.455072
"2833",2009-04-07,16.647142,16.667143,16.312857,16.428572,134145200,11.121429
"2834",2009-04-08,16.49,16.684286,16.368572,16.617144,113907500,11.249084
"2835",2009-04-09,16.917143,17.142857,16.851429,17.081429,132689200,11.563385
"2836",2009-04-13,17.144285,17.282858,17,17.174286,97309100,11.626245
"2837",2009-04-14,17.081429,17.167143,16.75,16.901428,113655500,11.44153
"2838",2009-04-15,16.742857,16.892857,16.537144,16.805714,103220600,11.376739
"2839",2009-04-16,17.027143,17.592857,16.969999,17.35,148361500,11.745196
"2840",2009-04-17,17.311428,17.75,17.178572,17.631428,124373900,11.935712
"2841",2009-04-20,17.389999,17.57,17.022858,17.214285,116616500,11.653324
"2842",2009-04-21,16.984285,17.448572,16.942858,17.394285,117671400,11.775176
"2843",2009-04-22,17.518572,17.907143,17.314285,17.358572,234691800,11.751001
"2844",2009-04-23,18.088572,18.171429,17.644285,17.914286,236289200,12.127191
"2845",2009-04-24,17.805714,17.877142,17.567142,17.700001,135191000,11.982131
"2846",2009-04-27,17.557142,17.857143,17.522858,17.818571,120172500,12.062399
"2847",2009-04-28,17.621429,18.030001,17.608572,17.700001,113964200,11.982131
"2848",2009-04-29,17.835714,18.121429,17.690001,17.877142,114527700,12.102046
"2849",2009-04-30,18.031429,18.142857,17.845715,17.975714,124622400,12.168777
"2850",2009-05-01,17.971428,18.278572,17.971428,18.177143,99379000,12.305137
"2851",2009-05-04,18.32,18.892857,18.24,18.867144,152339600,12.772235
"2852",2009-05-05,18.821428,18.98,18.731428,18.95857,99563800,12.834129
"2853",2009-05-06,19.047142,19.071428,18.602858,18.928572,118384700,12.813819
"2854",2009-05-07,18.904285,18.912857,18.271429,18.437143,132944000,12.481143
"2855",2009-05-08,18.434286,18.747143,18.037144,18.455715,116991000,12.493717
"2856",2009-05-11,18.195715,18.70857,18.16,18.51,101164700,12.530465
"2857",2009-05-12,18.508572,18.530001,17.607143,17.774286,152370400,12.032417
"2858",2009-05-13,17.601429,17.717142,17.054285,17.07,148992900,11.555648
"2859",2009-05-14,17.111429,17.647142,17.1,17.564285,111956600,11.890261
"2860",2009-05-15,17.474285,17.802856,17.372858,17.488571,91891800,11.839001
"2861",2009-05-18,17.675714,18.1,17.367144,18.092857,114710400,12.248076
"2862",2009-05-19,18.117144,18.472857,17.962856,18.207144,93105600,12.325444
"2863",2009-05-20,18.232857,18.45857,17.9,17.981428,97146000,12.172646
"2864",2009-05-21,17.878571,18.111429,17.555714,17.74,101986500,12.009209
"2865",2009-05-22,17.721428,17.74,17.392857,17.5,74499600,11.84674
"2866",2009-05-26,17.822857,18.690001,17.792856,18.682858,159231800,12.647484
"2867",2009-05-27,18.825714,19.282858,18.701429,19.007143,161605500,12.867011
"2868",2009-05-28,19.064285,19.341429,18.861429,19.295713,121888200,13.062359
"2869",2009-05-29,19.341429,19.414286,19.121429,19.401428,114133600,13.133922
"2870",2009-06-01,19.495714,19.998571,19.428572,19.907143,113124900,13.47627
"2871",2009-06-02,19.855715,20.191429,19.764286,19.927143,114055900,13.48981
"2872",2009-06-03,20,20.158571,19.867144,20.135714,141299900,13.631005
"2873",2009-06-04,20.018572,20.597143,20.005714,20.534286,137658500,13.900819
"2874",2009-06-05,20.758572,20.914286,20.45857,20.667143,158179000,13.990757
"2875",2009-06-08,20.545713,20.604286,19.918571,20.549999,232913100,13.911457
"2876",2009-06-09,20.544285,20.651428,20.078571,20.388571,169241100,13.802178
"2877",2009-06-10,20.325714,20.335714,19.757143,20.035715,172155900,13.563311
"2878",2009-06-11,19.935715,20.222857,19.792856,19.992857,131205900,13.534294
"2879",2009-06-12,19.83,19.871429,19.434286,19.567142,140771400,13.246104
"2880",2009-06-15,19.43,19.561428,19.27,19.441429,134937600,13.160999
"2881",2009-06-16,19.522858,19.781429,19.442858,19.478571,128701300,13.186146
"2882",2009-06-17,19.524286,19.635714,19.218571,19.368572,142853200,13.111683
"2883",2009-06-18,19.444286,19.714285,19.370001,19.411428,106920100,13.140691
"2884",2009-06-19,19.724285,19.928572,19.557142,19.925714,180464200,13.488843
"2885",2009-06-22,20.095715,20.222857,19.475714,19.624287,158728500,13.28479
"2886",2009-06-23,19.485714,19.564285,18.982857,19.144285,176633100,12.959849
"2887",2009-06-24,19.345715,19.642857,19.265715,19.459999,121381400,13.173573
"2888",2009-06-25,19.392857,20.028572,19.315714,19.98,147361900,13.525592
"2889",2009-06-26,19.969999,20.508572,19.962856,20.348572,109846100,13.775099
